the_transaction_id,store,customer_id,date_order,quantity_item_on_bill,total_bill_amount
1,1,1528,25/01/2022,1,9.6
2,1,5617,26/01/2022,0,0
3,1,4426,26/01/2022,4,73.6
4,1,1031,26/01/2022,5,106.4
5,1,4613,26/01/2022,5,162.4
6,1,617,27/01/2022,2,30.4
7,1,5297,27/01/2022,5,67.2
8,1,2340,27/01/2022,3,71.2
9,1,1757,27/01/2022,2,24
10,1,1089,27/01/2022,3,42.4
11,1,5949,27/01/2022,2,46.4
12,1,4493,28/01/2022,1,39.2
13,1,4852,28/01/2022,6,176
14,1,6064,28/01/2022,4,308.8
15,1,5946,28/01/2022,7,195.2
16,1,3656,29/01/2022,4,73.6
17,1,1236,29/01/2022,1,135.2
18,1,866,29/01/2022,4,83.2
19,1,6184,29/01/2022,8,107.2
20,1,98,29/01/2022,2,14.4
21,1,1671,29/01/2022,5,228
22,1,3958,29/01/2022,1,23.2
23,1,3958,29/01/2022,3,282.4
24,1,2168,29/01/2022,4,105.6
25,1,3110,29/01/2022,1,23.2
26,1,2060,29/01/2022,9,335.2
27,1,666,30/01/2022,6,120.8
28,1,2246,30/01/2022,8,111.2
29,1,6524,30/01/2022,4,121.6
30,1,6454,30/01/2022,1,28
31,1,6557,30/01/2022,2,62.4
32,1,6633,30/01/2022,6,144.8
33,1,6667,30/01/2022,3,165.6
34,1,6715,30/01/2022,11,664.8
35,1,1319,30/01/2022,4,39.2
36,1,6773,31/01/2022,2,62.4
37,1,565,31/01/2022,6,89.6
38,1,4402,31/01/2022,1,4
39,1,4525,31/01/2022,1,8.8
40,1,5297,31/01/2022,1,23.2
41,1,5178,31/01/2022,5,92
42,1,3656,31/01/2022,1,28
43,1,3677,31/01/2022,11,336
44,1,3720,01/02/2022,4,54.4
45,1,1534,01/02/2022,3,170.4
46,1,2,01/02/2022,3,173.6
47,1,7243,01/02/2022,6,95.2
48,1,7282,02/02/2022,2,102.4
49,1,4412,02/02/2022,1,79.2
50,1,3521,02/02/2022,2,23.2
51,1,7398,02/02/2022,8,203.2
52,1,7407,02/02/2022,10,188
53,1,563,02/02/2022,3,41.6
54,1,7444,02/02/2022,5,188.8
55,1,7446,02/02/2022,2,51.2
56,1,7448,02/02/2022,2,54.4
57,1,75,02/02/2022,7,676
58,1,7494,02/02/2022,3,71.2
59,1,4501,03/02/2022,1,31.2
60,1,977,04/02/2022,1,103.2
61,1,7716,04/02/2022,1,63.2
62,1,2897,04/02/2022,2,62.4
63,1,890,04/02/2022,3,58.4
64,1,5564,25/01/2022,1,28
65,1,5575,25/01/2022,1,55.2
66,1,5576,25/01/2022,1,15.2
67,1,1100,26/01/2022,1,12
68,1,3444,26/01/2022,3,45.6
69,1,5795,26/01/2022,4,396.8
70,1,2019,27/01/2022,1,31.2
71,1,2911,27/01/2022,2,19.2
72,1,4573,28/01/2022,3,101.6
73,1,5200,28/01/2022,6,165.6
74,1,1978,28/01/2022,2,43.2
75,1,6095,28/01/2022,3,149.6
76,1,4001,29/01/2022,2,19.2
77,1,1473,29/01/2022,11,505.6
78,1,2723,29/01/2022,3,34.4
79,1,6265,29/01/2022,6,117.6
80,1,4123,29/01/2022,1,103.2
81,1,6366,29/01/2022,4,73.6
82,1,96,29/01/2022,3,56
83,1,6514,30/01/2022,8,371.2
84,1,3205,30/01/2022,9,133.6
85,1,2601,30/01/2022,2,118.4
86,1,6791,31/01/2022,15,505.6
87,1,487,31/01/2022,6,136.8
88,1,338,31/01/2022,3,229.6
89,1,6847,31/01/2022,14,496
90,1,4842,31/01/2022,2,33.6
91,1,355,31/01/2022,2,46.4
92,1,5297,31/01/2022,3,125.6
93,1,7006,01/02/2022,8,158.4
94,1,3656,01/02/2022,1,23.2
95,1,7099,01/02/2022,4,68.8
96,1,936,01/02/2022,2,27.2
97,1,4861,01/02/2022,27,660.8
98,1,207,01/02/2022,7,108
99,1,3293,01/02/2022,2,90.4
100,1,605,02/02/2022,2,51.2
101,1,4986,02/02/2022,0,0
102,1,4011,02/02/2022,3,79.2
103,1,3877,03/02/2022,1,4
104,1,2392,03/02/2022,1,20
105,1,4249,03/02/2022,4,40.8
106,1,7618,03/02/2022,4,126.4
107,1,975,03/02/2022,7,82.4
108,1,7694,03/02/2022,2,198.4
109,1,951,03/02/2022,2,35.2
110,1,5492,03/02/2022,17,377.6
111,1,7783,04/02/2022,4,108
112,1,7803,04/02/2022,1,39.2
113,1,3656,04/02/2022,2,38.4
114,1,1257,04/02/2022,10,136
115,1,7891,04/02/2022,1,20
116,1,503,25/01/2022,2,462.4
117,1,85,25/01/2022,7,223.2
118,1,5589,25/01/2022,2,30.4
119,1,1449,26/01/2022,1,23.2
120,1,5666,26/01/2022,2,35.2
121,1,4426,26/01/2022,1,12
122,1,1357,27/01/2022,3,80
123,1,1090,27/01/2022,5,117.6
124,1,5858,27/01/2022,3,112
125,1,5865,27/01/2022,12,352.8
126,1,3656,27/01/2022,1,47.2
127,1,4983,27/01/2022,3,61.6
128,1,5921,27/01/2022,1,47.2
129,1,2408,27/01/2022,1,4
130,1,375,27/01/2022,12,140
131,1,419,27/01/2022,4,54.4
132,1,4465,28/01/2022,3,66.4
133,1,5311,29/01/2022,3,64
134,1,3958,29/01/2022,2,30.4
